bundestag_id;nachname;vorname;wp;fraktion;full_name;twitter_handle;account_type;activity;;
11004041;Gohlke;Nicole;20;Fraktion DIE LINKE.;Nicole Gohlke;NicoleGohlke;person;1;;
11003132;Göring-Eckardt;Katrin;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Katrin Göring-Eckardt;GoeringEckardt;person;1;;
11005067;Görke;Christian;20;Fraktion DIE LINKE.;Christian Görke;goerke_c;person;1;;
11004731;Gottschalk;Kay;20;Alternative für Deutschland;Kay Gottschalk;KayGottschalk1;person;0;;
11005068;Gramling;Fabian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Fabian Gramling;FabianGramling;person;1;;
11005069;Gräßle;Ingeborg;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Ingeborg Gräßle;inge_graessle;person;1;;
11005070;Grau;Armin;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Armin Grau;ArminGrau;person;1;;
11004732;Gremmels;Timon;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Timon Gremmels;Timon_Gremmels;person;1;;
11003440;Griese;Kerstin;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Kerstin Griese;KerstinGriese;person;1;;
11002666;Gröhe;Hermann;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Hermann Gröhe;groehe;person;1;;
11003541;Grosse-Brömer;Michael;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Michael Grosse-Brömer;MGrosseBroemer;person;1;;
11004282;Grötsch;Uli;20;Fraktion der Sozialdemokratischen Partei Deutschlands;Uli Grötsch;UliGroetsch;person;1;;
11003542;Grübel;Markus;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Markus Grübel;GruebelMdb;person;1;;
11002667;Grund;Manfred;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Manfred Grund;NA;person;NA;;
11004733;Grundl;Erhard;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Erhard Grundl;Erhard_Grundl;person;1;;
11004283;Grundmann;Oliver;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Oliver Grundmann;NA;person;NA;;
11003761;Grütters;Monika;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Monika Grütters;NA;person;NA;;
11005071;Grützmacher;Sabine;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Sabine Grützmacher;S_Gruetzmacher;person;1;;
11005072;Güler;Serap;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Serap Güler;SerapGueler;person;1;;
11004285;Güntzler;Fritz;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Fritz Güntzler;FGuentzler;person;1;;
11005073;Gürpinar;Ates;20;Fraktion DIE LINKE.;Ates Gürpinar;AtesGuerpinar;person;1;;
11003544;Gutting;Olav;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Olav Gutting;olavgutting;person;1;;
11000756;Gysi;Gregor;20;Fraktion DIE LINKE.;Gregor Gysi;GregorGysi;person;1;;
11004286;Haase;Christian;20;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union;Christian Haase;ChristianHaase6;person;1;;
11005074;Habeck;Robert;20;Fraktion BÜNDNIS 90/DIE GRÜNEN;Robert Habeck;NA;person;NA;;
11004734;Hacker;Thomas;20;Fraktion der Freien Demokratischen Partei;Thomas Hacker;hacker_fdp;person;1;;
