Id;Fraktion
christophploss;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
Pohl_MdB;Alternative für Deutschland
filizgreen;Fraktion BÜNDNIS 90/DIE GRÜNEN
AfDProtschka;Alternative für Deutschland
M_Reichardt_AfD;Alternative für Deutschland
Renner_AfD;Alternative für Deutschland
reuther_bernd;Fraktion der Freien Demokratischen Partei
b_riexinger;Fraktion DIE LINKE.
ManuelaRottman;Fraktion BÜNDNIS 90/DIE GRÜNEN
StefanRouenhoff;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
th_sattelberger;Fraktion der Freien Demokratischen Partei
Chr_Sauter;Fraktion der Freien Demokratischen Partei
ulschzi;Alternative für Deutschland
NilsSchmid;Fraktion der Sozialdemokratischen Partei Deutschlands
Schmidt_MdB;Fraktion BÜNDNIS 90/DIE GRÜNEN
Schneider_AfD;Alternative für Deutschland
jschraps;Fraktion der Sozialdemokratischen Partei Deutschlands
felixschreiner;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
mischrodi;Fraktion der Sozialdemokratischen Partei Deutschlands
Uwe_Schulz_AfD;Alternative für Deutschland
mseesternpauly;Fraktion der Freien Demokratischen Partei
Th_Seitz_AfD;Alternative für Deutschland
Martin_Sichert;Alternative für Deutschland
BjoernSimon;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
DirkSpaniel;Alternative für Deutschland
Rene_Springer;Alternative für Deutschland
katrin_staffler;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
starkwatzinger;Fraktion der Freien Demokratischen Partei
stonie_kiel;Fraktion der Sozialdemokratischen Partei Deutschlands
Beatrix_vStorch;Alternative für Deutschland
MAStrackZi;Fraktion der Freien Demokratischen Partei
bstrasser;Fraktion der Freien Demokratischen Partei
jessica_tatti;Fraktion DIE LINKE.
LindaTeuteberg;Fraktion der Freien Demokratischen Partei
EUTheurer;Fraktion der Freien Demokratischen Partei
alexander_throm;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
UllmannMdB;Fraktion der Freien Demokratischen Partei
G_UllrichFDP;Fraktion der Freien Demokratischen Partei
Kerstin_4egge;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
VriesChristoph;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
sandra_weeser;Fraktion der Freien Demokratischen Partei
Alice_Weidel;Alternative für Deutschland
NicoleWestig;Fraktion der Freien Demokratischen Partei
h_weyel;Alternative für Deutschland
WolfgangWiehle;Alternative für Deutschland
ChrWirthMdB;Alternative für Deutschland
Witt_Uwe;Alternative für Deutschland
PaulZiemiak;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
GydeJ;Fraktion der Freien Demokratischen Partei
MarjaVoellers;Fraktion der Sozialdemokratischen Partei Deutschlands
PeterHeidtFDP;Fraktion der Freien Demokratischen Partei
IsabelMackensen;Fraktion der Sozialdemokratischen Partei Deutschlands
DrJoeWeingarten;Fraktion der Sozialdemokratischen Partei Deutschlands
LehmannSpd;Fraktion der Sozialdemokratischen Partei Deutschlands
Bubendorferfdp;Fraktion der Freien Demokratischen Partei
Doro_Martin;Fraktion der Sozialdemokratischen Partei Deutschlands
janoschdahmen;Fraktion BÜNDNIS 90/DIE GRÜNEN
herr_emmerich;Fraktion BÜNDNIS 90/DIE GRÜNEN
_sanaeabdi;Fraktion der Sozialdemokratischen Partei Deutschlands
Valentin_C_Abel;Fraktion der Freien Demokratischen Partei
Knut_Abraham;Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union
katjadler;Fraktion der Freien Demokratischen Partei
s_aeffner;Fraktion BÜNDNIS 90/DIE GRÜNEN
ReemAlabali;Fraktion der Sozialdemokratischen Partei Deutschlands
